Temperature,Humidity,Pressure,Windspeed,Winddirection,Directinclined,Diffuseinclined,Reflected,Globalinclined,Directhoriz,Diffushoriz,Globalhoriz,TopAtm,ClearSkiGHI,Nebulosity,EPEX
275.11995,59.38015,1021.228175,4.9041,201.775025,116.25,84.5,1.25,202,47.25,70.25,117.5,282.25,53.9545,3,34.91
274.7073,60.1829,1021.2095,5.0303,200.8803,57,74,1,132,21,67,88,253,48.0624,3,33.29
274.53715,60.56565,1021.17155,5.19585,200.505825,45.25,61.75,0.75,107.75,16.25,56.25,72.75,212.5,41.6402,3.5,33.085
274.367,60.9484,1021.1336,5.3614,200.13135,33.5,49.5,0.5,83.5,11.5,45.5,57.5,172,34.8229,4,32.88
274.19685,61.33115,1021.09565,5.52695,199.756875,21.75,37.25,0.25,59.25,6.75,34.75,42.25,131.5,27.7269,4.5,32.675
274.0267,61.7139,1021.0577,5.6925,199.3824,10,25,0,35,2,24,27,91,20.3809,5,32.47
274.024375,61.7308,1021.030025,5.820575,199.390075,7.5,19,0,26.5,1.5,18.5,20.75,68.25,13.4122,5.25,33.035
274.02205,61.7477,1021.00235,5.94865,199.39775,5,13,0,18,1,13,14.5,45.5,7.2965,5.5,33.6
274.019725,61.7646,1020.974675,6.076725,199.405425,2.5,7,0,9.5,0.5,7.5,8.25,22.75,1.6697,5.75,34.165
274.0174,61.7815,1020.947,6.2048,199.4131,0,1,0,1,0,2,2,0,0,6,34.73
273.9858,61.914875,1020.888825,6.28845,199.772275,0,0.75,0,0.75,0,1.5,1.5,0,0,6,36.285
273.9542,62.04825,1020.83065,6.3721,200.13145,0,0.5,0,0.5,0,1,1,0,0,6,37.84
273.9226,62.181625,1020.772475,6.45575,200.490625,0,0.25,0,0.25,0,0.5,0.5,0,0,6,39.395
273.891,62.315,1020.7143,6.5394,200.8498,0,0,0,0,0,0,0,0,0,6,40.95
273.834425,62.492975,1020.60955,6.57995,201.7476,0,0,0,0,0,0,0,0,0,6,43.525
273.77785,62.67095,1020.5048,6.6205,202.6454,0,0,0,0,0,0,0,0,0,6,46.1
273.721275,62.848925,1020.40005,6.66105,203.5432,0,0,0,0,0,0,0,0,0,6,48.675
273.6647,63.0269,1020.2953,6.7016,204.441,0,0,0,0,0,0,0,0,0,6,51.25
273.587675,63.21265,1020.217575,6.732125,205.6675,0,0,0,0,0,0,0,0,0,6.25,51.575
273.51065,63.3984,1020.13985,6.76265,206.894,0,0,0,0,0,0,0,0,0,6.5,51.9
273.433625,63.58415,1020.062125,6.793175,208.1205,0,0,0,0,0,0,0,0,0,6.75,52.225
273.3566,63.7699,1019.9844,6.8237,209.347,0,0,0,0,0,0,0,0,0,7,52.55
273.29505,63.942425,1019.93045,6.874275,210.355325,0,0,0,0,0,0,0,0,0,6.25,51.8
273.2335,64.11495,1019.8765,6.92485,211.36365,0,0,0,0,0,0,0,0,0,5.5,51.05
273.17195,64.287475,1019.82255,6.975425,212.371975,0,0,0,0,0,0,0,0,0,4.75,50.3
273.1104,64.46,1019.7686,7.026,213.3803,0,0,0,0,0,0,0,0,0,4,49.55
273.08285,64.5478,1019.699275,7.063575,214.2381,0,0,0,0,0,0,0,0,0,4.75,48.74
273.0553,64.6356,1019.62995,7.10115,215.0959,0,0,0,0,0,0,0,0,0,5.5,47.93
273.02775,64.7234,1019.560625,7.138725,215.9537,0,0,0,0,0,0,0,0,0,6.25,47.12
273.0002,64.8112,1019.4913,7.1763,216.8115,0,0,0,0,0,0,0,0,0,7,46.31
272.99215,64.80655,1019.3428,7.195925,217.86455,0,0,0,0,0,0,0,0,0,6,46.92
272.9841,64.8019,1019.1943,7.21555,218.9176,0,0,0,0,0,0,0,0,0,5,47.53
272.97605,64.79725,1019.0458,7.235175,219.97065,0,0,0,0,0,0,0,0,0,4,48.14
272.968,64.7926,1018.8973,7.2548,221.0237,0,0,0,0,0,0,0,0,0,3,48.75
272.973275,64.73455,1018.723275,7.265925,222.077925,0,0,0,0,0,0,0,0,0,3,48.46
272.97855,64.6765,1018.54925,7.27705,223.13215,0,0,0,0,0,0,0,0,0,3,48.17
272.983825,64.61845,1018.375225,7.288175,224.186375,0,0,0,0,0,0,0,0,0,3,47.88
272.9891,64.5604,1018.2012,7.2993,225.2406,0,0,0,0,0,0,0,0,0,3,47.59
273.0168,64.4704,1018.084925,7.3091,226.058625,0,0,0,0,0,0,0,0,0,3,45.3925
273.0445,64.3804,1017.96865,7.3189,226.87665,0,0,0,0,0,0,0,0,0,3,43.195
273.0722,64.2904,1017.852375,7.3287,227.694675,0,0,0,0,0,0,0,0,0,3,40.9975
273.0999,64.2004,1017.7361,7.3385,228.5127,0,0,0,0,0,0,0,0,0,3,38.8
273.140575,64.192975,1017.639525,7.35055,229.252525,0,0,0,0,0,0,0,0,0,3.75,38.2825
273.18125,64.18555,1017.54295,7.3626,229.99235,0,0,0,0,0,0,0,0,0,4.5,37.765
273.221925,64.178125,1017.446375,7.37465,230.732175,0,0,0,0,0,0,0,0,0,5.25,37.2475
273.2626,64.1707,1017.3498,7.3867,231.472,0,0,0,0,0,0,0,0,0,6,36.73
273.32695,64.35375,1017.2832,7.4076,232.42705,0,0,0,0,0,0,0,0,0,6.25,35.9275
273.3913,64.5368,1017.2166,7.4285,233.3821,0,0,0,0,0,0,0,0,0,6.5,35.125
273.45565,64.71985,1017.15,7.4494,234.33715,0,0,0,0,0,0,0,0,0,6.75,34.3225
273.52,64.9029,1017.0834,7.4703,235.2922,0,0,0,0,0,0,0,0,0,7,33.52
273.64555,65.398375,1017.020975,7.49525,236.53235,0,0,0,0,0,0,0,0,0,7,32.015
273.7711,65.89385,1016.95855,7.5202,237.7725,0,0,0,0,0,0,0,0,0,7,30.51
273.89665,66.389325,1016.896125,7.54515,239.01265,0,0,0,0,0,0,0,0,0,7,29.005
274.0222,66.8848,1016.8337,7.5701,240.2528,0,0,0,0,0,0,0,0,0,7,27.5
274.20755,67.678825,1016.88105,7.5797,241.196325,0,0,0,0,0,0,0,0,0,7,26.335
274.3929,68.47285,1016.9284,7.5893,242.13985,0,0,0,0,0,0,0,0,0,7,25.17
274.57825,69.266875,1016.97575,7.5989,243.083375,0,0,0,0,0,0,0,0,0,7,24.005
274.7636,70.0609,1017.0231,7.6085,244.0269,0,0,0,0,0,0,0,0,0,7,22.84
274.995925,70.75435,1017.11515,7.587375,244.5769,0,0,0,0,0,0,0,0,0,7,23.655
275.22825,71.4478,1017.2072,7.56625,245.1269,0,0,0,0,0,0,0,0,0,7,24.47
275.460575,72.14125,1017.29925,7.545125,245.6769,0,0,0,0,0,0,0,0,0,7,25.285
275.6929,72.8347,1017.3913,7.524,246.2269,0,0,0,0,0,0,0,0,0,7,26.1
275.918825,73.2601,1017.48255,7.484925,247.216625,0,0,0,0,0,0,0,0,0,7,26.3675
276.14475,73.6855,1017.5738,7.44585,248.20635,0,0,0,0,0,0,0,0,0,7,26.635
276.370675,74.1109,1017.66505,7.406775,249.196075,0,0,0,0,0,0,0,0,0,7,26.9025
276.5966,74.5363,1017.7563,7.3677,250.1858,0,0,0,0,0,0,0,0,0,7,27.17
276.81345,74.783475,1017.909675,7.32575,252.5485,0,0.5,0,0.5,0,0.5,0.5,1,0,7.25,28.71
277.0303,75.03065,1018.06305,7.2838,254.9112,0,1,0,1,0,1,1,2,0,7.5,30.25
277.24715,75.277825,1018.216425,7.24185,257.2739,0,1.5,0,1.5,0,1.5,1.5,3,0,7.75,31.79
277.464,75.525,1018.3698,7.1999,259.6366,0,2,0,2,0,2,2,4,0,8,33.33
277.6734,75.819575,1018.62785,7.1086,262.979475,1.5,6.75,0,8.25,0.25,7,7.25,35,0,8,35.5125
277.8828,76.11415,1018.8859,7.0173,266.32235,3,11.5,0,14.5,0.5,12,12.5,66,0,8,37.695
278.0922,76.408725,1019.14395,6.926,269.665225,4.5,16.25,0,20.75,0.75,17,17.75,97,0.7561,8,39.8775
278.3016,76.7033,1019.402,6.8347,273.0081,6,21,0,27,1,22,23,128,5.0087,8,42.06
278.520675,76.886275,1019.635175,6.6968,276.259225,7.25,28.25,0.25,35.5,1.75,29.25,31,166.5,10.0335,8,43.0775
278.73975,77.06925,1019.86835,6.5589,279.51035,8.5,35.5,0.5,44,2.5,36.5,39,205,15.8817,8,44.095
278.958825,77.252225,1020.101525,6.421,282.761475,9.75,42.75,0.75,52.5,3.25,43.75,47,243.5,22.6556,8,45.1125
279.1779,77.4352,1020.3347,6.2831,286.0126,11,50,1,61,4,51,55,282,29.3904,8,46.13
279.395325,77.2084,1020.3432,6.086425,287.90405,12.75,57.25,1,70.25,5,58.25,63.25,308.75,35.9907,8,45.61
